laugh,6
pale,6
theatre,1
variety,6
backpack,6
daughter,6
gas station,6
leather,6
raincoat,6
handbag,6
necklace,5
receipt,6
sandwich,6
career,6
discipline,6
unfortunately,3
whether (doubt),0
envelope,2
journey,6
receptionist,6
opposite,6
schoolchild,6
telephone,3
neighborhood,5
drugstore,4
immediately,4
scissors,6
castle,6
violin,1
dinosaur,6
granddaughter,3
horrible,3
luggage,6
vehicle,6
windsurfing,3
necessarily,6
cereal,3
great,2
impressively,4
lying,5
through,5
believe,6
thunderstorm,3
chemistry,4
exhibition,3
guest-house,1
liar (person who tells lies),6
guidebook,2
apartment,3
chocolate,6
bookshop,6
museum,6
trousers,2
colleague,2
toothbrush,6
adolescence,4
businessman,5
treasure,6
convenience,1
rivalry,6
purple,2
cousin,6
endure,1
psychotic,3
proof,1
consequence,3
rebellious,5
tolerant,6
acquire,6
imitate,1
allergy,6
anxiety,3
artery,3
disease,0
exercise,6
obese,6
eliminate,0
attitude,3
disappointment,0
leisure,4
lifestyle,0
opportunity,6
pessimist,2
dissatisfied,6
successful,2
achieve,3
decision,3
controversy,4
curriculum,5
syllabus,6
eligible,6
work-related,3
concentrate,1
sophisticated,6
countryside,2
itinerary,5
advanturous,4
diverse,3
flexible,6
luxurious,5
mountainous,4
consecutive,1
imminent,1
erode,5
pesticides,1
species,0
disastrous,0
vulnerable,6
derbis,3
satellite,2
space shuttle,0
inevitable,6
balcony,5
skyscraper,6
tension,6
renovate,1
speculate,6
automatically,6
diminish,4
dilemma,1
obstacle,4
overpopulation,3
adequate,5
decent,1
deteriorate,3
drought,6
emission,3
erosion,1
exhaust,6
fertilizer,6
food chain,1
pollutant,3
achievable,1
advantageous,2
conceivable,0
devastating,3
feasible,4
immune,6
impracticable,6
improbable,6
insoluble,5
irreparable,6
irreplaceable,0
irreversible,3
pervasive,2
recyclable,6
unattainable,6
unprecedented,6
inevitably,3
disposable,5
rechargeable,4
renewable,3
deplete,6
emit,3
shift work,3
unemployment,3
persuade,1
authority,2
burglary,5
deterrent,0
inequality,4
kidnapping,1
prosecutor,0
safeguard,4
controversial,0
mainstream,4
audience,6
conception,4
gallery,0
musician,1
portrait,3
eclectic,3
influential,2
passionate,3
prominent,5
dangerous,4
recipe,0
convincing,5
throughout,1
achievement,2
dying,3
unconscious,5
consciousness,2
necessity,2
Europe,0
isle,1
mythical,3
fictitious,1
counterfeit,0
genuine,5
arresting,3
noticeable,6
conspicuous,1
discreet,6
careful,5
carefully,5
discreetly,2
contagious,0
settlement,6
dissolve,6
persuaded,6
simultaneously,6
precipitation,0
condolence,4
vertically,3
preferred,1
sympathy,3
genuineness,1
dependable,3
extinguish,3
negligence,0
irritate / aggravate,0
thought,5
hideous,6
piece of bread,4
neither,6
pursue,0
irresponsible,3
pursuit,2
hundred,6
circumstance,2
jewelry,0
omelete,1
driving license,0
acclimatize,2
tongue,1
responsible,3
eruption,0
thief,5
resemble,0
premises,5
recipient,3
literally,2
prevalent,5
thousands,5
occasionally,0
occasion,0
periodically,6
occurring,6
eradicate,1
recurring,6
dwelling,3
extremely,0
generally,6
discouragement,3
brought,5
coincidence,1
religious,3
priest,6
particularly,6
teach/taught,1
annoy,3
surrender,6
grateful,3
apologies,0
sincere,3
inquire,1
sincerely,3
faithfully,5
fortunately,5
acknowledgment,1
burglar,3
offense,2
favorite,1
fascinating,1
psychological,3
appropriate,1
extreme,1
endeavour,1
commence,2
furious,1
embarrassed,1
distinguishable,1
distinguish,2
pungent,0
responsibility,3
author,2
embarrass,0
February,1
August,2
Monday,1
Tuesday,1
Wednesday,2
Thursday,1
Friday,2
Saturday,1
Sunday,1
